,transcription,recognized,phonetic_ev,new_path,lang
0,"Myaryosiwtina,",ERYASHEKEEMA,0.34331797235023037,/home/kesha/dev/uni/kursach/refs/asr/new_audio/0.wav,yrk
1,sawanyeǣǣy.,OHANDYEE,0.3870967741935484,/home/kesha/dev/uni/kursach/refs/asr/new_audio/1.wav,yrk
2,"Padaniyutʃitʹq,",ASIMEOSHE,0.45268817204301076,/home/kesha/dev/uni/kursach/refs/asr/new_audio/2.wav,yrk
3,piryeyesyadatănya.,PIYISHASADANA,0.31272401433691754,/home/kesha/dev/uni/kursach/refs/asr/new_audio/3.wav,yrk
4,"Săwawnamacraaa,",ONOBEMURETHANANOTHEOTHER,0.4939516129032258,/home/kesha/dev/uni/kursach/refs/asr/new_audio/4.wav,yrk
5,"maciŋamaciŋa,",WASANDAMOSE,0.3014888337468983,/home/kesha/dev/uni/kursach/refs/asr/new_audio/5.wav,yrk
6,"săwawnamacampii,",ONAMARAMPE,0.4022177419354839,/home/kesha/dev/uni/kursach/refs/asr/new_audio/6.wav,yrk
7,ŋokawnamac-imacampi.,WALKONUMHASYMILESANBE,0.32027649769585254,/home/kesha/dev/uni/kursach/refs/asr/new_audio/7.wav,yrk
8,Ʃamyanmac-yammaldambi..,THIMEANDLORSGLOWALLSONP,0.40112201963534366,/home/kesha/dev/uni/kursach/refs/asr/new_audio/8.wav,yrk
9,"Maraŋgaŋǣya,",MODENGOODNA,0.25672043010752693,/home/kesha/dev/uni/kursach/refs/asr/new_audio/9.wav,yrk
10,ʃunraaŋodyapir.,ORNOTAHUNGAUSINGHAIRBUT,0.4817671809256662,/home/kesha/dev/uni/kursach/refs/asr/new_audio/10.wav,yrk
11,"AmănyaqnyerdyenyānataynaŋilnyanatiMuŋguyhnyanailyewacʹ,kolocŋǣnyu""",WHENYOURINKNOWTHATIAMGOINONTHATOWON'TGOINGONEYIYOURWORKCALLEHOTLINYOU,0.31369798971482005,/home/kesha/dev/uni/kursach/refs/asr/new_audio/11.wav,yrk
12,Tănyananyaărqŋǣsisʹ.,ANDOTHERNODINWASTHIS,0.4338709677419354,/home/kesha/dev/uni/kursach/refs/asr/new_audio/12.wav,yrk
13,Itănyanatioyhninyasoyadmh,ITEYONFUHONIANSFORYO,0.3458064516129032,/home/kesha/dev/uni/kursach/refs/asr/new_audio/13.wav,yrk
15,Tădtikādtikioyhninyasoyaqmaădăni,CHCONSQYHOLDONSWILLBEMORETHANHE,0.3654233870967742,/home/kesha/dev/uni/kursach/refs/asr/new_audio/15.wav,yrk
16,"padnăwamitǣwi""",ASNOTOWOO,0.45737327188940086,/home/kesha/dev/uni/kursach/refs/asr/new_audio/16.wav,yrk
18,natʃalʹniyklass'yolʹcyandhpadnadmh,NATELNICOLOFFYORCHIPWELNAN,0.32258064516129037,/home/kesha/dev/uni/kursach/refs/asr/new_audio/18.wav,yrk
20,Tădtikaădnatʃalʹniyklass'pud,HATGONATENIKOLOVWO,0.44930875576036866,/home/kesha/dev/uni/kursach/refs/asr/new_audio/20.wav,yrk
22,Karaulănhpyeryeʃyolpyatiyklassănh,CORUNPIRISOLYATHICOLVEN,0.38416422287390034,/home/kesha/dev/uni/kursach/refs/asr/new_audio/22.wav,yrk
24,TitikimǣǣnataminniKaraulănayolʹcyeyawh,EATONONETIMEWHENYOUGOTALLONDEYOURTABLE,0.30390492359932086,/home/kesha/dev/uni/kursach/refs/asr/new_audio/24.wav,yrk
27,"Tădtăkadtityedahtikimǣnyuq,yolʹcyeqmaădani,yetyaoyhnihmăncăralluwh",NOTATVATYOUTYONGOMAYYOULITTLEMORTHANYEHETHOFORHOLINGYOUMOTHERALAW,0.3707233626588466,/home/kesha/dev/uni/kursach/refs/asr/new_audio/27.wav,yrk
28,Piliqponhoyhnihmăncăralqnyowamh,TEGRIDONEHOLDINGYOUMOTHERONTON,0.3012486992715921,/home/kesha/dev/uni/kursach/refs/asr/new_audio/28.wav,yrk
29,Nisyaniwǣsakohŋǣsiittikaădmănʹmăncăralluwh,HISIMLWERTICLMANSHALTOGOMANYMUTHERONLOOK,0.33986175115207373,/home/kesha/dev/uni/kursach/refs/asr/new_audio/29.wav,yrk
30,"Tiŋămgǣhpirathmăncarawaqtănyana,",HEUNHEARDMONTRAUWITHTHEYOUNG,0.36794354838709675,/home/kesha/dev/uni/kursach/refs/asr/new_audio/30.wav,yrk
31,tiMuŋguyănasyantipomǣnakǣwaq.,THEMONGLIANASANSYBARMANOGILWOK,0.2962365591397849,/home/kesha/dev/uni/kursach/refs/asr/new_audio/31.wav,yrk
33,TădtikaădtaqălʹnyayusidnaqUstʹPortănhsidnaqtǣwraq,THATGOCELINGAASOWUSWATANSOMASTERA,0.4285714285714287,/home/kesha/dev/uni/kursach/refs/asr/new_audio/33.wav,yrk
34,"SowocOktyabrʹskiyŋǣǣqnyu""",OBCOURSEOFCHAPARSKINGOHINI,0.39143920595533505,/home/kesha/dev/uni/kursach/refs/asr/new_audio/34.wav,yrk
35,Aga.Tăka?],THEGIR,0.5419354838709678,/home/kesha/dev/uni/kursach/refs/asr/new_audio/35.wav,yrk
36,"Ŋǣya,Oktyabrʹskiysowocănatyukoonamăncăradmh.",MAILCARBASGISOHOSEONONUTMONTERA,0.38123167155425225,/home/kesha/dev/uni/kursach/refs/asr/new_audio/36.wav,yrk
37,Nyerdyepǣdariqnyanamăncăradmh,NEARTHEBUIZERINGANMOTRAL,0.2791991101223582,/home/kesha/dev/uni/kursach/refs/asr/new_audio/37.wav,yrk
38,"Tădtikaădtayna,tyukutaqălʹnyanamăncăradmh,tăinkihnyakunamǣwacʹ",THATYOHAVEDYINGTWOLLDURRINGOURNOMATARALBEHUNDGINGOVERNOMEWAY,0.3296045785639959,/home/kesha/dev/uni/kursach/refs/asr/new_audio/38.wav,yrk
39,"Ta,tităryemhmăncăraqmaădănaqsyanawpoǣnyaki",THATYETRUMUSROMOTHERSANHOOHINIKI,0.3798003072196621,/home/kesha/dev/uni/kursach/refs/asr/new_audio/39.wav,yrk
40,"Ti,siqiwyuqŋămgǣǣwpoona,yekar"".",DESEYOUIMGOBORNESYOGOTA,0.37200832466181066,/home/kesha/dev/uni/kursach/refs/asr/new_audio/40.wav,yrk
41,"Siqiwyuqmăt""poŋǣwiŋǣbtă",HEWILLWHATWORWIWP,0.3758765778401122,/home/kesha/dev/uni/kursach/refs/asr/new_audio/41.wav,yrk
42,Tamălyaŋgănanyerdyenyaŋăcyeki,COMEONTHEYEARINWETSKY,0.3770856507230255,/home/kesha/dev/uni/kursach/refs/asr/new_audio/42.wav,yrk
43,nyeŋăcyekǣminyaărpoypodasʹ,NORTOGIVEITNOTAPIBLESUS,0.30707196029776673,/home/kesha/dev/uni/kursach/refs/asr/new_audio/43.wav,yrk
44,Titinaqwǣwakoabcyaŋgănaaq.,YEDUNAWELGOHORTAGANAHER,0.2977667493796526,/home/kesha/dev/uni/kursach/refs/asr/new_audio/44.wav,yrk
45,Lucahwadawnamancʹsibirskiyyacwaănaaq,SOALLONAITICSHEBRISKYYASBONAHE,0.30510752688172044,/home/kesha/dev/uni/kursach/refs/asr/new_audio/45.wav,yrk
47,"Timălyaŋgi,tamălyaŋgǣǣdmăncărawi,măncaratyedahtiŋudiniŋǣyaq,",MANETHEATERMNYGIRMATHROOUMONTRITERTMORNINNAYOU,0.39381720430107536,/home/kesha/dev/uni/kursach/refs/asr/new_audio/47.wav,yrk
48,ŋǣniŋodʹbyatohwǣwaqŋǣqnimh,MADLABORTOAMENMA,0.46836228287841186,/home/kesha/dev/uni/kursach/refs/asr/new_audio/48.wav,yrk
49,oyhniymhyadrisyurtyeqnisăwawh,OININGATERISOKIS,0.47664071190211343,/home/kesha/dev/uni/kursach/refs/asr/new_audio/49.wav,yrk
50,"Titamălyaŋgănatyeda'tităryemhŋǣqnyuh,nyerdyenyayanhŋǣsuqniwamh,",ECOMECONCEYOUTOTERMYOYEARINTHEYOUNGWISTITEWOR,0.39605734767025075,/home/kesha/dev/uni/kursach/refs/asr/new_audio/50.wav,yrk
52,Tikimǣǣnaŋănihraciyawaqyaŋgu,OOWHENIRAPTOYO,0.5633640552995391,/home/kesha/dev/uni/kursach/refs/asr/new_audio/52.wav,yrk
54,"Tibrigadirwaq,",YOUPUTAGOODGOODWOOD,0.4100169779286926,/home/kesha/dev/uni/kursach/refs/asr/new_audio/54.wav,yrk
55,"tahŋănihtakinyenǣcyamhŋǣdătambapyasyǎti,",TAINGOIDINTROUBLEWITHTHEWORKES,0.398505114083399,/home/kesha/dev/uni/kursach/refs/asr/new_audio/55.wav,yrk
56,tʃtobtakiraciyasawǣynyenǣcyaŋgqmancʹǣsyǎtiwa,STOKTOOKARAGESTOITANCIRCOONIS,0.4333333333333332,/home/kesha/dev/uni/kursach/refs/asr/new_audio/56.wav,yrk
57,tinaqtăryemhăyaq.,TUNTERMAE,0.4857685009487666,/home/kesha/dev/uni/kursach/refs/asr/new_audio/57.wav,yrk
58,Tikiqŋuliqlǣkdaq.,YOGODWUNYOLLATLURKOFTHAT,0.41465053763440857,/home/kesha/dev/uni/kursach/refs/asr/new_audio/58.wav,yrk
59,"Maqnyu"":""Tărcyayadyembădăăna",MININGTHEVISITYELINBOSANY,0.396889400921659,/home/kesha/dev/uni/kursach/refs/asr/new_audio/59.wav,yrk
61,"Tădtikaădtibrigadirmimaqnyu"":",GATYOUCLGETYRMANYOU,0.39933259176863184,/home/kesha/dev/uni/kursach/refs/asr/new_audio/61.wav,yrk
62,"""Mănihsitnyahǣǣnih",WHENHEFEPTNAHA,0.4059139784946237,/home/kesha/dev/uni/kursach/refs/asr/new_audio/62.wav,yrk
63,"titakidalʹniyarkaŋǣsinh,",TOKADANYOFGOODMISSHIM,0.28897849462365593,/home/kesha/dev/uni/kursach/refs/asr/new_audio/63.wav,yrk
64,"tănyanaraciyadohtanyawa""",ANDONROTUDENOI,0.4603494623655915,/home/kesha/dev/uni/kursach/refs/asr/new_audio/64.wav,yrk
65,"Mǣtitănya'ăyanih,ŋuliqyadyembi",BUTIFDENOIMWOULLYERHIM,0.40161290322580645,/home/kesha/dev/uni/kursach/refs/asr/new_audio/65.wav,yrk
66,"Ŋobhpyaaya,tănyahtǣwinihtikikakrac",DOTPAYTHENUTLYWUNEKUKORA,0.364326375711575,/home/kesha/dev/uni/kursach/refs/asr/new_audio/66.wav,yrk
67,pǣwsyumnyaŋiraciyahlaănawamhtǣwamih,PUSHNEARATELANONTEWORME,0.4211981566820277,/home/kesha/dev/uni/kursach/refs/asr/new_audio/67.wav,yrk
68,Tiraciyaănamaq.,GRATINMA,0.49247311827956985,/home/kesha/dev/uni/kursach/refs/asr/new_audio/68.wav,yrk
69,"Tikādtikariinapǣwsyumnyanasaltqninyu""tikiq",THYVGOTTOGREEINTHEPRISONANDSULTININSKIT,0.2891705069124424,/home/kesha/dev/uni/kursach/refs/asr/new_audio/69.wav,yrk
70,tikiqtănyanamǣnaqtikitiqlyekarmh,THEYOUNONASPETILIAGIRL,0.39868951612903236,/home/kesha/dev/uni/kursach/refs/asr/new_audio/70.wav,yrk
71,raciyasawǣyqmyaknihsolamih,RATIFLINGTHONIFLONME,0.3325062034739454,/home/kesha/dev/uni/kursach/refs/asr/new_audio/71.wav,yrk
72,"Timyadoqmănayadǣrŋa,",HEMETAMONTHEOTHERS,0.307258064516129,/home/kesha/dev/uni/kursach/refs/asr/new_audio/72.wav,yrk
73,tamălyaŋgănaŋawodănaacyanawahsyeŋgq,BUBKINOASANUTCHINOWASHINK,0.41935483870967744,/home/kesha/dev/uni/kursach/refs/asr/new_audio/73.wav,yrk
76,Myaknaqŋodhtǣwiwaq,NOWGINOFFFEWOT,0.3351254480286738,/home/kesha/dev/uni/kursach/refs/asr/new_audio/76.wav,yrk
77,"Mănʹsămlyaŋgtimhmǣqŋaqdamcʹ,",MONEYSOMEABOUTTHEMONGEN,0.36405529953917043,/home/kesha/dev/uni/kursach/refs/asr/new_audio/77.wav,yrk
78,Nyaărqtǣmihmyaknihtǣwqmaqriidanihpihminandohawiq.,NOTTHEMITHAPPENTHEMWATTINTOPEMNBO,0.3992758393680053,/home/kesha/dev/uni/kursach/refs/asr/new_audio/78.wav,yrk
79,Tadkădtikitayadtawitikitiqlyekar',THEY'BUTTOBETIEAFOEWHICHCOULDDOLOOKON,0.27855274629468185,/home/kesha/dev/uni/kursach/refs/asr/new_audio/79.wav,yrk
80,tipyelyeytadaăbtadaŋănihawi,HEPERIATEDAHARFTOLINEOL,0.27120669056152924,/home/kesha/dev/uni/kursach/refs/asr/new_audio/80.wav,yrk
81,"Mimyerhnuliqmyeryesqnyu"",",MEITWOULDN'TMETATHIN,0.39870967741935487,/home/kesha/dev/uni/kursach/refs/asr/new_audio/81.wav,yrk
82,"tikiabcyangawtărcyaŋǣwisʹ,mănʹărqnisǣwaqnanimanǣsqnisawawh",HELPTOLATTHEFUELSWHENHAVINGSOONHIMENASHESOLL,0.4026696329254728,/home/kesha/dev/uni/kursach/refs/asr/new_audio/82.wav,yrk
83,Tărsihmintaartnianash.,DEFFIMINDOTMEONOS,0.29032258064516125,/home/kesha/dev/uni/kursach/refs/asr/new_audio/83.wav,yrk
84,Ŋanyerdyenyaănanda,ANDYEARINGANTETI,0.2921146953405018,/home/kesha/dev/uni/kursach/refs/asr/new_audio/84.wav,yrk
85,mǣnhŋǣsiwaqŋobhyanh,MELLINGIFITWILLMORBION,0.34970674486803516,/home/kesha/dev/uni/kursach/refs/asr/new_audio/85.wav,yrk
87,Sabyeponhniwacʹmǣŋguq.,THEEUPONLOATUNGLE,0.35263929618768325,/home/kesha/dev/uni/kursach/refs/asr/new_audio/87.wav,yrk
88,"Tătăŋămgǣǣwtohwar,",THATTHEGOATBOLWA,0.46505376344086025,/home/kesha/dev/uni/kursach/refs/asr/new_audio/88.wav,yrk
89,ŋatyukorkaănanyaărqalʹmyer.,IFORKONTHENARAHAMER,0.38530465949820786,/home/kesha/dev/uni/kursach/refs/asr/new_audio/89.wav,yrk
90,"Tikipaddyenaqtiqtikisyanyaŋorǣyhtădtăryemhanqŋaq,ti",CUPBULINTHETEITKITSOUNDYEWILLETERTOTHEMONAKIT,0.2865275142314991,/home/kesha/dev/uni/kursach/refs/asr/new_audio/90.wav,yrk
91,tyuquyyahobamhăbărŋadoh.,TOYOUHOMETERORMALU,0.3084677419354838,/home/kesha/dev/uni/kursach/refs/asr/new_audio/91.wav,yrk
92,"Tăkadtădsilasyatiwa""manbtǣwiqyahobamhabrawaq",ICOTOSINWITHTOWHATWILEMONTHWHICHOGETYEHOMOOFIT,0.33239831697054706,/home/kesha/dev/uni/kursach/refs/asr/new_audio/92.wav,yrk
96,tămnaŋobkădpyeryeq.,COMNOWOCESBURIET,0.2971137521222411,/home/kesha/dev/uni/kursach/refs/asr/new_audio/96.wav,yrk
97,Tikādwǣnyekudŋǣyaq,IFITWORNGOOTHEMARYO,0.4066213921901528,/home/kesha/dev/uni/kursach/refs/asr/new_audio/97.wav,yrk
98,"Tiqŋǣyaq,mimandohsyerh",EDOKNOWYOMETMEMONTLESHET,0.28024193548387094,/home/kesha/dev/uni/kursach/refs/asr/new_audio/98.wav,yrk
99,"tăryemhtikilimhsyakălpaāndaq,tăryemhyadǣrŋaq",CRIMNSCHOOLSWOMOSELFUPBEHINDTHATTMASI,0.34604105571847527,/home/kesha/dev/uni/kursach/refs/asr/new_audio/99.wav,yrk
100,Mǣŋǣtikipihtyaahŋobhmǣqyaq,NOWAAVEGOTPEACHOUTMOMIYE,0.3312655086848635,/home/kesha/dev/uni/kursach/refs/asr/new_audio/100.wav,yrk
102,Ŋǣyatikaănaayoya.,ISWENIRY,0.5834914611005692,/home/kesha/dev/uni/kursach/refs/asr/new_audio/102.wav,yrk
103,Yedǣyyanhyamdǣynaq.,TEANIAMTIN,0.4838709677419354,/home/kesha/dev/uni/kursach/refs/asr/new_audio/103.wav,yrk
104,Tădyedǣyyanhŋamdwamiti,ITHOUGHTYETAYOUNGONTORNTO,0.37548387096774194,/home/kesha/dev/uni/kursach/refs/asr/new_audio/104.wav,yrk
106,mănʹŋobhmǣtaqyaqmiăbtqyamia.,MENEWONWITHMEHATTHAMIHA,0.3836405529953918,/home/kesha/dev/uni/kursach/refs/asr/new_audio/106.wav,yrk
107,Takădandalusatiŋǣqniwaq,DOWNGOWATERTNGINIWORT,0.3569424964936887,/home/kesha/dev/uni/kursach/refs/asr/new_audio/107.wav,yrk
108,"wot,ti",O,0.8333333333333334,/home/kesha/dev/uni/kursach/refs/asr/new_audio/108.wav,yrk
109,tiqnaqlyekarăkoqyaqpraktikantămgǣmhtyenyewa?!,DONEGODGUIOPRIAGANTMGTINUI,0.44731182795698915,/home/kesha/dev/uni/kursach/refs/asr/new_audio/109.wav,yrk
110,"Brigadirmaqnyu"",ămgǣ",BUTHECOULDGIVEMONELUNG,0.38636363636363646,/home/kesha/dev/uni/kursach/refs/asr/new_audio/110.wav,yrk
111,"maqnyu"":«ăbărcʹnyu""tara"",",MINEWITHHOMOTNILDERRE,0.43612903225806454,/home/kesha/dev/uni/kursach/refs/asr/new_audio/111.wav,yrk
112,tʃtobimyuydamănǣqmăncʹ.Tikandautʃyerqayoda?»,TOTMUSAMMENTTATEMACAREGULAR,0.4582111436950147,/home/kesha/dev/uni/kursach/refs/asr/new_audio/112.wav,yrk
113,"Nu,mănyaqăbărŋawaqtikitimh.",NONHOOUCHITO,0.594384707287933,/home/kesha/dev/uni/kursach/refs/asr/new_audio/113.wav,yrk
114,"Praktikantatǣrisircyǎtitiki,yekar,ŋămgǣǣnaawămdasyaaqmănǣqŋada.",BUTITYOUCOULDN'TGETAFUTOTETERYOUGOTEMGOHOMETOSHEWMANWETHER,0.3462701612903225,/home/kesha/dev/uni/kursach/refs/asr/new_audio/114.wav,yrk
115,"Timyuydapilikawandaămgǣǣwaăna,ti,",TOMOVETHEBRIGONDONGOHANMATI,0.31769305962854344,/home/kesha/dev/uni/kursach/refs/asr/new_audio/115.wav,yrk
116,sisyurăaŋǣsyǎti,SHESHURAMESE,0.40524193548387094,/home/kesha/dev/uni/kursach/refs/asr/new_audio/116.wav,yrk
117,"ăbărŋawaq,tăkapuna",WOMENFORMOAWON,0.43279569892473113,/home/kesha/dev/uni/kursach/refs/asr/new_audio/117.wav,yrk
118,tǣrityaakurkaqanawaq,DOIBOGOONTOWAR,0.3943548387096774,/home/kesha/dev/uni/kursach/refs/asr/new_audio/118.wav,yrk
119,Tăkadpǣwsyumyanyanaŋăniqtiqtoq,APOSOTONTOTO,0.624731182795699,/home/kesha/dev/uni/kursach/refs/asr/new_audio/119.wav,yrk
120,Tăkaănihmyakădwadawiŋawkakoqyawatanyawasʹ,YONMACKEWOANDOPOKWEOTINWAS,0.4409913453973249,/home/kesha/dev/uni/kursach/refs/asr/new_audio/120.wav,yrk
121,Tikacyaiŋănihmăntǣyq.,ORCHUCKOFYEWADEMONDAK,0.3740399385560676,/home/kesha/dev/uni/kursach/refs/asr/new_audio/121.wav,yrk
122,Miŋǣyatikaawmhmaldyoyŋǣtaminniŋănihnyeri,NOETWONMYGOINGWOTDAVINAERU,0.4366935483870968,/home/kesha/dev/uni/kursach/refs/asr/new_audio/122.wav,yrk
123,tihaqmahǣwănhmow,DOHOMWELHELENMORE,0.34440227703984816,/home/kesha/dev/uni/kursach/refs/asr/new_audio/123.wav,yrk
124,"Tăkaădubtaănatădyurkinaq,",I'LLHOTEITEROTONAT,0.3954838709677418,/home/kesha/dev/uni/kursach/refs/asr/new_audio/124.wav,yrk
125,"ŋobhtiwǣnyekohsyertohnyu""ŋaq,nidtanyanaŋōrmiq",OLDYOUWULNATGISHAFTERNOONWHENYOUTHINONMOR,0.30286738351254483,/home/kesha/dev/uni/kursach/refs/asr/new_audio/125.wav,yrk
126,Tădtănyadtoqtadtătăryemtiposawidh,RATNATATOTERCRIMPTUPOSSILWOD,0.33479960899315747,/home/kesha/dev/uni/kursach/refs/asr/new_audio/126.wav,yrk
