,transcription,recognized,phonetic_ev,new_path,lang
0,"Myaryosiwtina,",tрsk那,0.7315668202764977,/home/kesha/dev/uni/kursach/refs/asr/new_audio/0.wav,yrk
1,sawanyeǣǣy.,你,0.9090909090909091,/home/kesha/dev/uni/kursach/refs/asr/new_audio/1.wav,yrk
2,"Padaniyutʃitʹq,",bs,0.8731182795698924,/home/kesha/dev/uni/kursach/refs/asr/new_audio/2.wav,yrk
3,piryeyesyadatănya.,下這的,0.9444444444444444,/home/kesha/dev/uni/kursach/refs/asr/new_audio/3.wav,yrk
4,"Săwawnamacraaa,",y,0.9440860215053762,/home/kesha/dev/uni/kursach/refs/asr/new_audio/4.wav,yrk
5,"maciŋamaciŋa,",mosendernose,0.29156327543424315,/home/kesha/dev/uni/kursach/refs/asr/new_audio/5.wav,yrk
6,"săwawnamacampii,",o那麼人皮,0.8870967741935484,/home/kesha/dev/uni/kursach/refs/asr/new_audio/6.wav,yrk
7,ŋokawnamac-imacampi.,oconapasymaamp,0.3282258064516129,/home/kesha/dev/uni/kursach/refs/asr/new_audio/7.wav,yrk
8,Ʃamyanmac-yammaldambi..,smanmosbomalsonp,0.3765778401122019,/home/kesha/dev/uni/kursach/refs/asr/new_audio/8.wav,yrk
9,"Maraŋgaŋǣya,",marın்கalnü,0.4798387096774193,/home/kesha/dev/uni/kursach/refs/asr/new_audio/9.wav,yrk
10,ʃunraaŋodyapir.,onnatahannosinkan,0.36622390891840606,/home/kesha/dev/uni/kursach/refs/asr/new_audio/10.wav,yrk
11,"AmănyaqnyerdyenyānataynaŋilnyanatiMuŋguyhnyanailyewacʹ,kolocŋǣnyu""",ernantanemlnesemuguyanilawadconhosmen,0.4971112181030332,/home/kesha/dev/uni/kursach/refs/asr/new_audio/11.wav,yrk
12,Tănyananyaărqŋǣsisʹ.,eeegardemefi,0.4741935483870967,/home/kesha/dev/uni/kursach/refs/asr/new_audio/12.wav,yrk
13,Itănyanatioyhninyasoyadmh,тн去х認所言,0.96,/home/kesha/dev/uni/kursach/refs/asr/new_audio/13.wav,yrk
15,Tădtikādtikioyhninyasoyaqmaădăni,paihoñеsоlmtel,0.6456653225806451,/home/kesha/dev/uni/kursach/refs/asr/new_audio/15.wav,yrk
16,"padnăwamitǣwi""",ad,0.8571428571428571,/home/kesha/dev/uni/kursach/refs/asr/new_audio/16.wav,yrk
18,natʃalʹniyklass'yolʹcyandhpadnadmh,macaldecoafuchatonda,0.4686907020872865,/home/kesha/dev/uni/kursach/refs/asr/new_audio/18.wav,yrk
20,Tădtikaădnatʃalʹniyklass'pud,kanmacennecomafun,0.47119815668202764,/home/kesha/dev/uni/kursach/refs/asr/new_audio/20.wav,yrk
22,Karaulănhpyeryeʃyolpyatiyklassănh,caruinserisoiarticol,0.4408602150537634,/home/kesha/dev/uni/kursach/refs/asr/new_audio/22.wav,yrk
24,TitikimǣǣnataminniKaraulănayolʹcyeyawh,umanataminacarlolti,0.513157894736842,/home/kesha/dev/uni/kursach/refs/asr/new_audio/24.wav,yrk
27,"Tădtăkadtityedahtikimǣnyuq,yolʹcyeqmaădani,yetyaoyhnihmăncăralluwh",topatiтiкмеlnsmazаniхоdimasрon,0.6148582600195506,/home/kesha/dev/uni/kursach/refs/asr/new_audio/27.wav,yrk
28,Piliqponhoyhnihmăncăralqnyowamh,ipnoiمم,0.7741935483870968,/home/kesha/dev/uni/kursach/refs/asr/new_audio/28.wav,yrk
29,Nisyaniwǣsakohŋǣsiittikaădmănʹmăncăralluwh,isiluuesagunisstamanmasl,0.45506912442396313,/home/kesha/dev/uni/kursach/refs/asr/new_audio/29.wav,yrk
30,"Tiŋămgǣhpirathmăncarawaqtănyana,",ngetartemanferautenyan,0.40120967741935487,/home/kesha/dev/uni/kursach/refs/asr/new_audio/30.wav,yrk
31,tiMuŋguyănasyantipomǣnakǣwaq.,smgulanasansipoandegu,0.3353726362625139,/home/kesha/dev/uni/kursach/refs/asr/new_audio/31.wav,yrk
